Sequence,Time,CampaignId,Kind,Action,Price,Volume,Filled,Raw,Allowed,Reasons,IntentId,Curve,Kappa,Policy,PendingIncrease,PendingReduce,Regime,Equity,Drawdown,Fees,MaximumVolume,Turnover,ExitReason,Ready,Quality,BrokerId,Side,IsLimit,OrderState,OrderFilled,OrderRemaining,SlippagePrice
"1","2026-09-25T00:00:02.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"2","2026-09-25T00:00:02.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"3","2026-09-25T00:00:03.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"4","2026-09-25T00:00:03.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"5","2026-09-25T00:00:04.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"6","2026-09-25T00:00:04.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"7","2026-09-25T00:00:05.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"8","2026-09-25T00:00:05.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"9","2026-09-25T00:00:06.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"10","2026-09-25T00:00:06.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"11","2026-09-25T00:00:07.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"12","2026-09-25T00:00:07.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"13","2026-09-25T00:00:08.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"14","2026-09-25T00:00:08.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"15","2026-09-25T00:00:09.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"16","2026-09-25T00:00:09.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"17","2026-09-25T00:00:10.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"18","2026-09-25T00:00:10.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"19","2026-09-25T00:00:11.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"20","2026-09-25T00:00:11.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"21","2026-09-25T00:00:12.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"22","2026-09-25T00:00:12.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"23","2026-09-25T00:00:13.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"24","2026-09-25T00:00:13.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"25","2026-09-25T00:00:14.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"26","2026-09-25T00:00:14.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"27","2026-09-25T00:00:15.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"28","2026-09-25T00:00:15.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"29","2026-09-25T00:00:16.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
"30","2026-09-25T00:00:16.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","STALE_OR_WARMUP","","","","","","",""
"31","2026-09-25T00:00:17.0000000","S02","Decision","Wait","100","0","0","0","0","DATA_NOT_READY","","0","0","10","0","0","Normal","0","0","0","0","0","","False","OK","","","","","","",""
